Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
10/2009 ASTU;Principado de Asturias;Asturias;Aller;Mina Peregrina (Los Estruyones, AS-112 entre los Kms 12 y 13;NO EXHUMADA, PERO DIGNIFICADA;DESCONOCIDO;10;N
100/2009 VALL;Castilla y León;Valladolid;Pedraja de Portillo, La;PUENTE DE COMPASQUILLO;EXHUMADA TOTAL;-;-;N
1000/2009 VIZC;País Vasco;Vizcaya;Arrigorriaga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1001/2009 VIZC;País Vasco;Vizcaya;Bermeo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1002/2009 VIZC;País Vasco;Vizcaya;Busturia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1003/2009 VIZC;País Vasco;Vizcaya;Carranza;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1004/2009 VIZC;País Vasco;Vizcaya;Durango;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1005/2009 VIZC;País Vasco;Vizcaya;Fruiz;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1006/2009 VIZC;País Vasco;Vizcaya;Markina-Xemein;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1007/2009 VIZC;País Vasco;Vizcaya;Gordexola;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1008/2009 VIZC;País Vasco;Vizcaya;Güeñes;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1009/2009 VIZC;País Vasco;Vizcaya;Balmaseda;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1010/2009 VIZC;País Vasco;Vizcaya;Gernika-Lumo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1011/2009 VIZC;País Vasco;Vizcaya;Loiu;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1012/2009 VIZC;País Vasco;Vizcaya;Muxika;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1013/2009 NAVA;Comunidad Foral de Navarra;Navarra;Murieta;Cementerio de Murieta;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1014/2009 VIZC;País Vasco;Vizcaya;Otxandio;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1015/2009 VIZC;País Vasco;Vizcaya;Orduña;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1016/2009 VIZC;País Vasco;Vizcaya;Santurtzi;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1017/2009 VIZC;País Vasco;Vizcaya;Zalla;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1018/2009 RIOJ;La Rioja;La Rioja;Logroño;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1019/2009 CACE;Extremadura;Cáceres;Trujillo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
102/2009 VALL;Castilla y León;Valladolid;Velilla;CERCA DEL CEMENTERIO;EXHUMADA TOTAL;EJECUCIONES EXTRAJUDICIALES;-;N
1020/2009 CACE;Extremadura;Cáceres;Valdelacasa de Tajo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1021/2009 CACE;Extremadura;Cáceres;Villar del Pedroso;Cementerio de Villar del Pedroso;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1022/2009 CACE;Extremadura;Cáceres;Logrosán;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1023/2009 CACE;Extremadura;Cáceres;Cáceres;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1024/2009 CACE;Extremadura;Cáceres;Miajadas;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1025/2009 CACE;Extremadura;Cáceres;Plasencia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1026/2009 SEGO;Castilla y León;Segovia;Segovia;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1027/2009 LERI;Cataluña;Lleida;Pobla de Segur, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1028/2009 LERI;Cataluña;Lleida;Mollerussa;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1029/2009 LERI;Cataluña;Lleida;Soleràs, El;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
103/2009 VALL;Castilla y León;Valladolid;Boecillo;"Fosa en el paraje ""La mata de las muertas";EXHUMADA TOTAL;-;-;N
1030/2009 LERI;Cataluña;Lleida;Granadella, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1031/2009 GERO;Cataluña;Girona;Amer;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1032/2009 GERO;Cataluña;Girona;Bolvir;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1034/2009 GERO;Cataluña;Girona;Fontanals de Cerdanya;Caixans;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1035/2009 GERO;Cataluña;Girona;Celrà;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1036/2009 GERO;Cataluña;Girona;Escala, l;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1037/2009 GERO;Cataluña;Girona;Figueres;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1038/2009 GRAN;Andalucía;Granada;Gor;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1039/2009 GERO;Cataluña;Girona;Garrigoles;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
104/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa en ""El Rodaco";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1040/2009 GERO;Cataluña;Girona;Girona;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1041/2009 GERO;Cataluña;Girona;Lloret de Mar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1042/2009 GERO;Cataluña;Girona;Pardines;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1044/2009 GERO;Cataluña;Girona;Ripoll;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1045/2009 GERO;Cataluña;Girona;Sant Feliu de Guíxols;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1046/2009 GERO;Cataluña;Girona;Sant Ferriol;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1047/2009 GERO;Cataluña;Girona;Sant Gregori;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1048/2009 GERO;Cataluña;Girona;Sant Julià de Ramis;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1049/2009 GERO;Cataluña;Girona;Sant Martí de Llémena;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
105/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa en ""El Bravón de la Fuente"" (Cabruñana)";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1050/2009 GERO;Cataluña;Girona;Sant Miquel de Campmajor;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1051/2009 GERO;Cataluña;Girona;Sarrià de Ter;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1052/2009 GERO;Cataluña;Girona;Tallada d´Empordà, La;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1053/2009 GERO;Cataluña;Girona;Terrades;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1054/2009 GERO;Cataluña;Girona;Tortellà;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1055/2009 GERO;Cataluña;Girona;Toses;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1056/2009 GERO;Cataluña;Girona;Vilademuls;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1057/2009 GERO;Cataluña;Girona;Viladrau;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1058/2009 MADR;Comunidad de Madrid;Madrid;Sevilla la Nueva;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1059/2009 MADR;Comunidad de Madrid;Madrid;Arganda del Rey;-;TRASLADADA AL VALLE DE LOS CAÍDOS;EJECUCIONES EXTRAJUDICIALES;4;N
106/2009 ASTU;Principado de Asturias;Asturias;Grado;"Fosa ""Las Coruxeras"" en Grao capital, paseo paralelo al río";NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1060/2009 MADR;Comunidad de Madrid;Madrid;Navas del Rey;Cementerio de Navas del Rey;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1061/2009 LEON;Castilla y León;León;Villaquilambre;Navatejera;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1062/2009 LEON;Castilla y León;León;Astorga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1063/2009 LEON;Castilla y León;León;Astorga;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1064/2009 LEON;Castilla y León;León;Boñar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1065/2009 LEON;Castilla y León;León;Valdelugueros;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1066/2009 LEON;Castilla y León;León;Acebedo;La Uña;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1067/2009 LEON;Castilla y León;León;Sabero;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1068/2009 LEON;Castilla y León;León;León;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1069/2009 ALME;Andalucía;Almería;Almería;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
107/2009 ASTU;Principado de Asturias;Asturias;Grado;Fosa de Ambás;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
1070/2009 ALME;Andalucía;Almería;Illar;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;-;N
1071/2009 MADR;Comunidad de Madrid;Madrid;Brunete;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1072/2009 MADR;Comunidad de Madrid;Madrid;Valdemaqueda;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1073/2009 MADR;Comunidad de Madrid;Madrid;Guadarrama;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1074/2009 MADR;Comunidad de Madrid;Madrid;Fresnedillas de la Oliva;-;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1075/2009 MADR;Comunidad de Madrid;Madrid;Valdemorillo;-;TRASLADADA AL VALLE DE LOS CAÍDOS;EJECUCIONES EXTRAJUDICIALES;4;N
1076/2009 MADR;Comunidad de Madrid;Madrid;Boadilla del Monte;-;TRASLADADA AL VALLE DE LOS CAÍDOS;OTRO;4;N
1077/2009 MADR;Comunidad de Madrid;Madrid;Fuenlabrada;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
1078/2009 MADR;Comunidad de Madrid;Madrid;Pinilla del Valle;Antiguo cementerio de Pinilla del Valle;TRASLADADA AL VALLE DE LOS CAÍDOS;-;4;N
1079/2009 MADR;Comunidad de Madrid;Madrid;Getafe;-;TRASLADADA AL VALLE DE LOS CAÍDOS;MUERTOS EN COMBATE;4;N
